name,date,lsp_name,lsp_type,orbit,location,pad_name,Latitude,Longitude,location_launch_attempt_count,pad_launch_attempt_count,agency_launch_attempt_count,location_launch_attempt_count_year,pad_launch_attempt_count_year,agency_launch_attempt_count_year,image,landing,mission_type
Hyperbola-1 | DEAR-1,2023-12-17,iSpace,Commercial,SSO,"Jiuquan Satellite Launch Center, People's Republic of China",Launch Area 95A,40.969117,100.343333,215,47,6,33,12,2,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launch_images/hyperbola-1252_image_20231217075308.jpg,,Technology
Soyuz 2.1b/Fregat-M | Arktika-M No.2,2023-12-16,Russian Federal Space Agency (ROSCOSMOS),Government,Elliptical,"Baikonur Cosmodrome, Republic of Kazakhstan",31/6,45.996034,63.564003,1545,412,318,9,7,10,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launch_images/soyuz25202.1b_image_20231217085107.jpg,,Earth Science
Long March 5 | Yaogan 41,2023-12-15,China Aerospace Science and Technology Corporation,Government,GTO,"Wenchang Space Launch Site, People's Republic of China",101,19.614334,110.951011,25,10,451,4,1,45,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launch_images/long2520march_image_20231216085127.jpeg,,Government/Top Secret
Electron | The Moon God Awakens (QPS-SAR-5),2023-12-15,Rocket Lab,Commercial,LEO,"Onenui Station, Mahia Peninsula, New Zealand",Rocket Lab Launch Complex 1B,-39.262833,177.864469,39,13,42,7,7,10,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launch_images/electron25202_image_20231216124337.jpeg,PAC,Earth Science
Long March 2F/G | Chinese Reusable Space Vehicle,2023-12-14,China Aerospace Science and Technology Corporation,Government,LEO,"Jiuquan Satellite Launch Center, People's Republic of China",Launch Area 4 (SLS-1 / 921),40.957893,100.290944,214,22,450,32,3,44,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launcher_images/long_march_2_image_20210908195835.jpeg,,Government/Top Secret
Long March 2D | Yaogan 39 Group 05,2023-12-10,China Aerospace Science and Technology Corporation,Government,LEO,"Xichang Satellite Launch Center, People's Republic of China",Launch Complex 3 (LC-3/LA-1),28.247209,102.02917,197,86,449,14,8,43,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launch_images/long2520march_image_20231210054414.jpg,,Government/Top Secret
Zhuque-2 | Flight 3,2023-12-08,LandSpace,Commercial,SSO,"Jiuquan Satellite Launch Center, People's Republic of China",Launch Area 96,40.91491,100.245488,213,3,4,31,2,2,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launch_images/zhuque-225202_image_20231209100246.jpeg,,Technology
Falcon 9 Block 5 | Starlink Group 7-8,2023-12-08,SpaceX,Commercial,LEO,"Vandenberg SFB, CA, USA",Space Launch Complex 4E,34.632,-120.611,737,127,306,28,27,93,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launch_images/falcon2520925_image_20230817061839.png,OCISLY,Communications
Falcon 9 Block 5 | Starlink Group 6-33,2023-12-07,SpaceX,Commercial,LEO,"Cape Canaveral, FL, USA",Space Launch Complex 40,28.56194122,-80.57735736,924,215,305,56,52,92,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launch_images/falcon2520925_image_20230922123911.png,JRTI,Communications
Smart Dragon 3 | SatNet test satellite,2023-12-05,China Aerospace Science and Technology Corporation,Government,PO,Sea Launch,Bo Run Jiu Zhou mobile launch platform,21.283333,112.0,46,1,448,2,1,42,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launch_images/smart2520drago_image_20231206073547.jpg,,Communications
Ceres-1 | Tianyan-16 & Starpool-01A,2023-12-04,Galactic Energy,Commercial,SSO,"Jiuquan Satellite Launch Center, People's Republic of China",Launch Area 95A,40.969117,100.343333,212,46,11,30,11,7,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launch_images/ceres-1252025_image_20231205052346.jpeg,,Earth Science
